sentence,token ,target,morph_weight,"BP_type
",meaning ,transliteration,
هَلْ يَنظُرُونَ إِلَّا أَنْ يَأْتِيَهُمُ اللَّـهُ فِي ظُلَلٍ مِّنَ الْغَمَامِ), ظُلَلٍ, ظُلَلٍ,فُعَل,جمع كثرة,Shadows,ZulalK,
هَرِيقُوا عَلَيَّ مِنْ سَبْعِ قِرَبٍ,قِرَب,قِرَب,فِعَل,جمع كثرة,Jars,qirab,
"نَمَتْ الشَّقائِقُ البَرّيَّةُ فِي الحُقُولِ بَعْدَ هُطولِ الأَمْطَارِ .

",الشَّقائِقُ,شقائِق,فَعَائِل,جمع كثرة,Anemones,$qA}iq,
نقلت السفن حمولتها إلى مرافئ جديدة,مرافئ,مرافئ,مَفَاعِل,جمع كثرة,Ports,mrAf},
نقل العمال الأحمال الثقيلة باستخدام الرافعات.,الأحمال,أَحْمَالٌ,أَفْعَال,جمع قلة,Loads,>aHomaAlN,
نقل العمال أَكْوَاراً من الرمل.,أَكْوَاراً,أَكْوَار,أَفْعَال,جمع قلة,Bodies of water,>akowaAr,
نظمت المدرسة رحلة إلى مواقع الآثار.,الآثار,آثار,أَفْعَال,جمع قلة,Monuments,|vAr,
نظمت المدرسة الجداول الدراسية للطلاب,الجداول,جداول,فَعَالِل,جمع كثرة,Tables,jdAwl,
نُظّمت الحفلات الموسيقية في المسارح الوطنية.,المسارح,مسارح,مَفَاعِل,جمع كثرة,Theaters,msArH,
نظمت الجامعة مهرجانًا لتكريم الأطباء.,الأطباء,أطباء,"أَفْعِلاء
",جمع كثرة,Doctors,>TbA',
نظّمت البلدية حملة لتنظيف الشوارع.,الشوارع,شوارع,فَوَاعِل, جمع كثرة,Streets,$wArE,
نظفنا الحديقة من بقايا ثمار جافة.,بقايا,بقايا,فَعَالَى,جمع كثرة,Remains,bqAyA,
نَظَّفَ الوَلَدُ أَظَافِرَهُ قَبْلَ الذَّهابِ إِلَى المَدْرَسَةِ., أَظَافِرَهُ ,أظافر,أَفَاعِل,جمع كثرة,Nails,>ZAfr,
نظف العمال الطرقات من الأوساخ.,الطرقات,طُرُق,فُعُل,جمع كثرة,The streets,Turuq,
نَظَّفَ العَامِلُ المَغَاسِلَ قَبْلَ اِنْتِهَاءِ وَقْتِ العَمَلِ.,المَغَاسِلَ,مَغَاسِل,مَفَاعِل,جمع كثرة,Washbasins,magaAsila,
نظرت المحكمة في جميع الدعاوى المرفوعة.,الدعاوى,دعاوى,فَعَالَى,جمع كثرة,Claims,dEAwY,
نطقت الأفواه بالحق.,الأفواه,أفْوَاه,أَفْعَال,جمع قلة,Mouths,>fowaAh,
نَصَبْنَا ٱلْمَصَائِدَ لِصَيْدِ ٱلطُّيُورِ,ٱلْمَصَائِد,مَصَائِد,مَفَاعِل,جمع كثرة ,Traps,maSaA}ida,
نَحْنُ نَحْمِي حُدُودَ ٱلْوَطَنِ بِأَرْوَاحِنَا وَقُلُوبِنَا,حُدُودَ,حُدُود,فُعُول ,جمع كثرة,Borders,Huduwda,
ناقش العلماء الاختلافات بين المذاهب الفلسفية.,المذاهب ,مذاهب ,مَفَاعِل,جمع كثرة,Sects,m*Ahb,
ناقش العلماءُ الاختلافاتِ بينَ المذاهبِ الفلسفيةِ., المذاهبِ ,مَذَاهِب ,مَفَاعِل,جمع كثرة ,philosophies,ma*aAhib,
ناقش الطلاب أفكارهم مع المعلمين في الفصل., أفكارهم,أفكار,أَفْعَال,جمع قلة,Ideas,>fkAr,
مَلَأَتِ الغُيُومُ الدَّاكِنَةُ السَّمَاءَ قَبْلَ هُطُولِ المَطَرِ., الغُيُومُ ,غُيُوم,فُعُول ,جمع كثرة,Clouds,guyuwmu,
مَكَّنَتِ ٱلْفِرَقُ مِنْ حَلِّ ٱلسَّوالِبِ ٱلتَّقْنِيَّةِ ٱلَّتِي كَانَتْ تُوَاجِهُ ٱلْمَشْرُوعَ,ٱلسَّوالِبِ,سَوالِب,فَوَاعِل ,جمع كثرة,Outer layers,swAlb,
مزّق الطفل الصحائف التي في المكتبة.,الصحائف,صحائف,فَعَائِل,جمع كثرة,Newspapers,SHA}f,
مررنا عبر الفُجُر الضيقة للوصول إلى المعسكر.,الفُجُر,فُجُر,فُعُل,جمع كثرة,Dawns,fujur,
مررنا بجانب حقول واسعة مليئة بأصناف الخضروات.,بأصناف,أصناف,أَفْعَال,جمع قلة,Varieties,>SnAf,
مَرَّتِ البِلَادُ بِالكَثِيرِ مِنَ الحُرُوبِ الطَّوِيلَةِ الَّتِي أَثَّرَتْ عَلَى حَيَاةِ النَّاسِ.,الحُرُوبِ,حُرُوب,فُعُول ,جمع كثرة,wars,Huruwbi,
متُّ بِوَضْعِ مَغَانِطَ صَغِيرَةٍ فِي حَقِيبَتِي لِتَثْبِيتِ الأَوْرَاقِ المَهِمَّةِ.,مَغَانِطَ ,مَغَانِط,مَفَاعِل,جمع كثرة ,Magnets,magaAniTa,
لَمُدَرِّسُ أَعْطَىٰ عِدَّةَ أَمْثِلَةٍ لِتَوْضِيحِ ٱلْفِكْرَةِ,أَمْثِلَة,أَمْثِلَة,أَفْعِلَة,جمع قلة,Examples,>amovilap,
لِلطَّائِرِ أَجْنِحَةٌ تُسَاعِدُهُ عَلَى الطَّيْرَانِ.,أَجْنِحَةٌ,أَجْنِحَةٌ,أَفْعِلَة,جمع قلة,Masks,>ajoniHapN,
لكل مرض أسباب يجب معرفتها للعلاج.,أسباب,أسبَاب,أَفْعَال,جمع قلة,Reasons,>sbaAb,
لِكُلِّ إِنْسَٰنٍ مَآرِبُ مُخْتَلِفَةٍ فِي ٱلْحَيَاةِ,مَآرِبُ,مَآرِب,مَفَاعِل,جمع كثرة ,Purposes,ma|ribu,
لعب الصِبيان في الحديقة طوال النهار,الصِبيان,صِبيان,فِعْلان,جمع كثرة,Boys,SibyAn,
لَأَمْطَارُ الصَّفَائِحِ المَعْدَنِيَّةِ بِصَوْتِهَا العَذْبِ., الصَّفَائِحِ ,صَفَائِحِ,فَعَائِل,جمع كثرة ,Plates,SafaA}iHi,
لا يجب أن ننسى أن الأعداء يمكن أن يظهروا في أي وقت.,الأعداء,أعداء,أَفْعَال,جمع قلة,Enemies,>EdA',
لا تصدق الكَوَاذِب التي تُشاع دون دليل واضح.,الكَوَاذِب,كَوَاذِب,فَوَاعِل ,جمع كثرة,Broken things,kawaA*ib,
لا تستهن بأحد، فحتى الأَغْبِياء قد يفاجئونك أحيانًا.,الأَغْبِياء,أَغْبِياء,"أَفْعِلاء
",جمع كثرة,Miserable people,>agobiyA',
كل دولة تتميز بمَفَارِدَ ثقافية فريدة من نوعها.,مَفَارِد,مَفَارِد,مَفَاعِل,جمع كثرة,Singles,mafaArid,
كرّم الأهالي ذكرى المَوْتَى الذين فقدوا حياتهم في الحادث المأساوي., المَوْتَى,مَوْتَى,فَعْلَى,جمع كثرة,The dead,mawotaY,
كَتَبْتُ فِي الرِّسَالَةِ سُطُورًا تَعْبِرُ عَنْ مَشَاعِرِي.,سُطُورًا,سُطُور,فُعُول ,جمع كثرة ,Lines,suTuwrFA,
كتبت الطالبة العناوين بخط واضح على غلاف البحث.,العناوين,عناوين,مَفَاعِيل,جمع كثرة,Addresses,EnAwyn,
كَتَبَ المُبَرْمِجُ أَكْوَادًا مُعَقَّدَةً لِإِنْشَاءِ اللُّعْبَةِ الجَدِيدَةِ., أَكْوَادًا , أَكْوَاد,أفْعَال,جمع قلة,Ropes,>akowaAd,
كتب الطلاب دروسهم على الألواح الذكية.,الألواح,ألواح,أَفْعَال,جمع قلة,Panels,>lwAH,
كَتَبَ الطَّالِبُ دُرُوسَهُ عَلَى المَسَاطِيرِ بِدِقَّةٍ, المَسَاطِيرِ,مَسَاطِير,مَفَاعِيل ,جمع كثرة ,Bees,masaATiyri,
كانَتْ هُناكَ مَجْمُوعَةٌ مِنَ الطُّيُورِ السُّودِ تَطِيرُ فِي السَّمَاءِ أَثْنَاءَ غُرُوبِ الشَّمْسِ.,السُّودِ ,سُودِ ,فُعْل ,جمع كثرة,The blacks,suwdi,
كانت نَتائِج الامتحانات جيدة, نَتائِج, نَتائِج,فَعَائِل,جمع كثرة,Lazy people (alternate spelling),natA}ij,
كانت طَوالِق الجبال شاهقة، وتحيط بالوادي من كل جانب., طَوالِق, طَوالِق,فَوَاعِل ,جمع كثرة,Old people,TawAliq,
كَانَتِ رِمَالُ الصَّحْرَاءِ سَاخِنَةً جِدًّا.,رِمَالُ ,رِمَالُ ,فِعَال,جمع كثرة ,Sands,rimaAlu,
"كانت جُمَع الصلاة في المسجد دائمًا مليئة بالمصلين.""",جُمَع,جُمَع,فُعَل,جمع كثرة,Fridays ,jumaE,
كَانَتِ ٱلْحُبُوبُ مَحْفُوظَةً فِي ٱلْمَطَامِيرِ, المَطَامِيرِ, مَطَامِير,مَفَاعِيل,جمع كثرة ,Conspiracies,maTaAmiyri,
كانت أماسي الشعر في القرية مليئة بالفرح والإبداع,أماسي,أماسي,أَفَاعِي,جمع كثرة,Evenings,>mAsy,
كَانَتِ المَوَاضِيعُ المَطْرُوحَةُ لِلنِّقَاشِ مُمتِعَةً وَمُثِيرَةً.,المَوَاضِيعُ,مَوَاضِيع,مَفَاعِيل,جمع كثرة,Topics,mawaADiyEu,
كانت المقاصد السياحية مزدحمة خلال موسم الصيف.,المقاصد,مقاصد,مَفَاعِل,جمع كثرة,Destinations,mqASd,
كانت المسالك الجبلية صعبة للغاية على المتسلقين.,المسالك,مسالك,مَفَاعِل,جمع كثرة,Paths,msAlk,
كانت الكلمات تحمل تأثيرًا قويًا في أَفْئِدَة الحضور,أَفْئِدَة ,أَفْئِدَة ,أَفْعِلَة,جمع قلة,Hearts,>afo}idap,
كانت القلاع القديمة تحتوي على العديد من الغرف المغلقة التي تعود للعصور الوسطى.,الغرف,غرف,فُعَل,جمع قلة,Rooms,grf,
