sentences,token ,target,morph_weight,"BP_type
",meaning ,transliteration
نَجَّارُونَ يَصْنَعُونَ الْأَثَاثَ الْخَشَبِيَّ.,نَجَّارُونَ,نَجَّارُونَ,فَعَّالُونَ,جمع المذكر السالم,Carpenters,najjArUna
رَائِدُونَ يُقُودُونَ الْمَشَارِيعَ النَّاجِحَةَ.,رَائِدُونَ,رَائِدُونَ,فَاعِلُونَ,جمع المذكر السالم,Pioneers,rA'idUna
جُغْرَافِيُّونَ يَدْرُسُونَ التَّضَارِيسَ وَالْمَنَاخَاتِ.,جَغْرَافِيُّونَ,جَغْرَافِيُّونَ,فَعْلَالِيُّونَ,جمع المذكر السالم,Geographers,jaghrAfiyyUna
مُحَلِّلُونَ يُفَسِّرُونَ الْبَيَانَاتِ بِدِقَّةٍ.,مُحَلِّلُونَ ,مُحَلِّلُونَ ,مُفَعِّلُونَ,جمع المذكر السالم,"Analysts

",muHallilUna
مُسَافِرُونَ يَسْتَكْشِفُونَ الْعَالَمَ.,مَسَافِرُونَ,مَسَافِرُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Travelers,masAfirUna
مُسَاعِدُونَ يُقَدِّمُونَ الْعَوْنَ لِلآخَرِينَ.,مُسَاعِدُونَ,مُسَاعِدُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Assistants,musAEidUna
مُسْتَشَارُونَ يُقَدِّمُونَ النَّصِيحَةَ الْمِهْنِيَّةَ.,مُسْتَشَارُونَ,مُسْتَشَارُونَ,مُسْتَفْعَالُونَ,جمع المذكر السالم,Consultants,mustashArUna
لُغَوِيُّونَ يُحَلِّلُونَ نُظُمَ اللُّغَاتِ.,لُغَوِيُّونَ,لُغَوِيُّونَ,فُعَلِيُّونَ,جمع المذكر السالم,Linguists,lughawiyyUna
مُدَرِّبُونَ يُؤَهِّلُونَ الْفِرَقَ لِلمُبَارَيَاتِ.,مُدَرِّبُونَ,مُدَرِّبُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Coaches,mudaribUna
مُمَثِّلُونَ يُؤَدُّونَ الأَدْوَارَ عَلَى الْمَسَارِحِ.,مُمَثِّلُونَ,مُمَثِّلُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Actors,mumaththilUna
سَائِقُونَ يَقُودُونَ السَّيَّارَاتِ بِحَذَرٍ.,سَائِقُونَ,سَائِقُونَ,فَاعِلُونَ,جمع المذكر السالم,Drivers,sA'iqUna
مُحَكِّمُونَ يُفَصِّلُونَ بَيْنَ الْمُتَنَازِعِينَ.,مَحْكِّمُونَ,مَحْكِّمُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Judges,maHkikUna
مَسْؤُولُونَ يُنَظِّمُونَ شُؤُونَ الْمُؤَسَّسَاتِ.,مَسْؤُولُونَ,مَسْؤُولُونَ,مَفْعُولُونَ,جمع المذكر السالم,Responsible,mas'UlUna
رَاعُونَ يَرْعَوْنَ الْمَوَاشِيَ فِي الْمَرَاعِي.,رَاعُونَ,رَاعُونَ,فَاعُونَ,جمع المذكر السالم,Shepherds,rAEUna
نَاشِطُونَ يُنَظِّمُونَ الْحَمَلَاتِ الْإِنْسَانِيَّةَ.,نَاشِطُونَ,نَاشِطُونَ,فَاعِلُونَ,جمع المذكر السالم,Active,nAshitUna
مُصَوِّرُونَ يُوَثِّقُونَ اللَّحَظَاتِ بِالصُّوَرِ.,مُصَوِّرُونَ,مُصَوِّرُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Photographers,muS.awwirUna
رِيَاضِيُّونَ يُشَارِكُونَ فِي الْمُسَابَقَاتِ.,رِيَاضِيُّونَ,رِيَاضِيُّونَ,فِعَالِيُّونَ,جمع المذكر السالم,Athletes,riyADiyyUna
مُعَلِّمُونَ يُنِيرُونَ دُرُوبَ الْعِلْمِ.,مُعَلِّمُونَ,مُعَلِّمُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Educators,muEallimUna
مُعَالِجُونَ يُقَدِّمُونَ الرِّعَايَةَ الصِّحِّيَّةَ.,مُعَالِجُونَ,مُعَالِجُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Therapists,muEAlijUna
مُتَسَابِقُونَ يَتَنَافَسُونَ فِي السِّبَاقِ.,مُتَسَابِقُونَ,مُتَسَابِقُونَ,مُتَفَاعِلُونَ,جمع المذكر السالم,Competitors,mutasAbiqUna
مُوَظَّفُونَ يُؤَدُّونَ وَاجِبَاتِهِمْ بِانْتِظَامٍ.,مُوَظَّفُونَ,مُوَظَّفُونَ,مُفَعَّلُونَ,جمع المذكر السالم,Employees,muwaZZafUna
نَاخِبُونَ يُدْلُونَ بِأَصْوَاتِهِمْ فِي الِانْتِخَابَاتِ.,نَاخِبُونَ,نَاخِبُونَ,فَاعِلُونَ,جمع المذكر السالم,Voters,nAkhibUna
طَيَّارُونَ يُقِيلُونَ الرُّكَّابَ فِي الرِّحْلَاتِ الْجَوِّيَّةِ.,طَيَّارُونَ,طَيَّارُونَ,فَعَّالُونَ,جمع المذكر السالم,Pilots,TayyArUna
جَرَّاحُونَ يُجْرُونَ الْعَمَلِيَّاتِ الْجِرَاحِيَّةَ بِمَهَارَةٍ.,جَرَّاحُونَ,جَرَّاحُونَ,فَعَّالُونَ,جمع المذكر السالم,Surgeons,jarrAHUna
مُحَارِبُونَ يُدَافِعُونَ عَنِ الْوَطَنِ بِشَجَاعَةٍ.,مُحَارِبُونَ,مُحَارِبُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Warriors,muHAribUna
فَاعِلُونَ يُبَادِرُونَ إِلَى الْخَيْرِ بِإِخْلَاصٍ.,فَاعِلُونَ,فَاعِلُونَ,فَاعِلُونَ,جمع المذكر السالم,Doers,fAEilUna
مُفَكِّرُونَ يُنَاقِشُونَ الْقَضَايَا الْفِكْرِيَّةَ.,مُفَكِّرُونَ,مُفَكِّرُونَ,مُفَعِّلُونَ,جمع المذكر السالم,Thinkers,mufakkirUna
مُجَاهِدُونَ يُقَاتِلُونَ فِي سَبِيلِ الْحَقِّ.,مُجَاهِدُونَ,مُجَاهِدُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Mujahideen,mujAhidUna
مُحَافِظُونَ يَحْفَظُونَ الْقِيَمَ وَالْأَعْرَافَ.,مُحَافِظُونَ,مُحَافِظُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Conservatives,muHAFiZ.Una
قَتَّالُونَ يُجِيدُونَ الْقِتَالَ فِي الْمَعَارِكِ.,قَتَّالُونَ,قَتَّالُونَ,فَعَّالُونَ,جمع المذكر السالم,Killers,qat~aAluwna
مُصْلِحُونَ يُسَاعِدُونَ فِي حَلِّ النِّزَاعَاتِ.,مُصْلِحُونَ,مُصْلِحُونَ,مُفْعِلُونَ,جمع المذكر السالم,Reformers,muSoliHuwna
مُؤْمِنُونَ يُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ.,مُؤْمِنُونَ,مُؤْمِنُونَ,مُفْعِلُونَ,جمع المذكر السالم,Believers,mu&ominuwna
سَاهِرُونَ يُرَاقِبُونَ الْمُدُنَ لَيْلًا.,سَاهِرُونَ,سَاهِرُونَ,فَاعِلُونَ,جمع المذكر السالم,Night Watchers,saAhiruwna
مُجْتَهِدُونَ يُنْجِزُونَ أَعْمَالَهُمْ بِإِتْقَانٍ.,مُجْتَهِدُونَ,مُجْتَهِدُونَ,مُفْتَعِلُونَ,جمع المذكر السالم,Diligent,mujotahiduwna
مُسْلِمُونَ يُحَافِظُونَ عَلَى تَعَالِيمِ دِينِهِمْ.,مُسْلِمُونَ,مُسْلِمُونَ,مُفْعِلُونَ,جمع المذكر السالم,Muslims,musolimuwna
عَامِلُونَ يُنَفِّذُونَ الْمَهَامَّ بِجِدٍّ.,عَامِلُونَ,عَامِلُونَ,فَاعِلُونَ,جمع المذكر السالم,Workers,EaAmiluwna
مُحَاضِرُونَ يُقَدِّمُونَ الْمَعْرِفَةَ لِلطُّلَّابِ.,مُحَاضِرُونَ,مُحَاضِرُونَ,مُفَاعِلُونَ,جمع المذكر السالم,Lecturers,muHaADiruwna
رَائِعُونَ يُبْهِرُونَ الْجَمَاهِيرَ بِإِبْدَاعِهِمْ.,رَائِعُونَ,رَائِعُونَ,فَاعِلُونَ,جمع المذكر السالم,Amazings,rA'iEUna
مُهْتَمُّونَ يُتَابِعُونَ التَّفَاصِيلَ بِدِقَّةٍ.,مُهْتَمُّونَ,مُهْتَمُّونَ,مُفْتَعَّلُونَ,جمع المذكر السالم,Concernedes,muhtammUna
كَاتِبُونَ يُؤَلِّفُونَ الْكُتُبَ الْقَيِّمَةَ.,كَاتِبُونَ,كَاتِبُونَ,فَاعِلُونَ,جمع المذكر السالم,Present,kAtibUna
ٱلْطِّيبُونَ يُسَاعِدُونَ ٱلْجَمِيعَ بِقُلُوبٍ صَافِيَةٍ.,ٱلْطَيبُونَ,طَيبُونَ,فَعِيلُونَ,جمع المذكر السالم,Accused,TayyibUna
ٱلَّلاعِبُونَ تَأَلَّقُوا فِي ٱلْمُبَارَاةِ ٱلْنِّهَائِيَّةِ وَحَقَّقُوا ٱلْفَوْزَ.,ٱلَّلاعِبُونَ,لاعِبُونَ,فَاعِلُونَ,جمع المذكر السالم,Writers,lAEibUna
ٱلصَّادِقُونَ يَكْسِبُونَ اِحْتِرَامَ ٱلْجَمِيعِ بِصِدْقِهِمْ فِي ٱلْقَوْلِ وَٱلْعَمَلِ.,ٱلصَّادِقُونَ,صَّادِقُونَ,فَاعِلُونَ,جمع المذكر السالم,Honest people,S.sAdiqUna
ٱلْفَائِزُونَ صَعِدُوا إِلَى مِنَصَّةِ ٱلتَّكْرِيمِ بِكُلِّ فَخْرٍ.,ٱلْفَائِزُونَ,فَائِزُونَ,فَاعِلُونَ,جمع المذكر السالم,Winners,fA'izUna
ٱلْنَّاجِحُونَ يَحْتَفِلُونَ بِتَفَوُّقِهِمْ فِي ٱلِٱمْتِحَانَاتِ.,ٱلْنَّاجِحُونَ,نَّاجِحُونَ,فَاعِلُونَ,جمع المذكر السالم,Successful people,nAjihUna
ٱلْعَابِدُونَ يَقْضُونَ وَقْتَهُمْ فِي ٱلطَّاعَاتِ وَٱلتَّقَرُّبِ إِلَى ٱللَّهِ.,ٱلْعَابِدُونَ,عَابِدُونَ,فَاعِلُونَ,جمع المذكر السالم,Worshippers,EAbidUna
ٱلْمُتَقِنُونَ لِعَمَلِهِمْ يُحَقِّقُونَ نَتَائِجَ مُبْهِرَةً.,ٱلْمُتَقِنُونَ,مُتَقِنُونَ,مُفْعِلُونَ,جمع المذكر السالم,Proficient people,mutaqinUna
ٱلْمَاهِرُونَ فِي ٱلْبَرْمَجَةِ يَجِدُونَ فُرَصًا مُمْتَازَةً فِي سُوقِ ٱلْعَمَلِ.,ٱلْمَاهِرُونَ,مَاهِرُونَ,فَاعِلُونَ,جمع المذكر السالم,Skilled people,mAhirUna
ٱلْمُخْلِصُونَ يُعْتَمَدُ عَلَيْهِمْ فِي ٱلْأَوْقَاتِ ٱلْحَرِجَةِ.,ٱلْمُخْلِصُونَ,مُخْلِصُونَ,مُفْعِلُونَ,جمع المذكر السالم,Sincere people,muxliSUna
ٱلْمُبْدِعُونَ يَبْتَكِرُونَ حُلُولًا جَدِيدَةً لِلْمَشَاكِلِ ٱلْمُعَقَّدَةِ.,ٱلْمُبْدِعُونَ,مُبْدِعُونَ,مُفْعِلُونَ,جمع المذكر السالم,Creators,mubdiEUna
ٱلطَّويلون تَمَكَّنُوا مِنَ ٱلوُصُولِ إِلَى ٱلْمَكَانَاتِ ٱلْمُرْتَفِعَةِ بِسُهُولَةٍ.,ٱلطَّويلون,طَّويلون,فَعِيلُونَ,جمع المذكر السالم,Tall people,T.awIlUna
ٱلْقَصيرون جَلَسُوا فِي ٱلصَّفِّ ٱلْأَمَامِي لِيَتَمَكَّنُوا مِنَ ٱلرُّؤْيَةِ بِوُضُوحٍ.,ٱلْقَصيرون,قَصيرون,فَعِيلُونَ,جمع المذكر السالم,Short people,qaS.irUna
ٱلْمُحْتَرِفُونَ نَفَّذُوا ٱلْمَشْرُوعَ بِدِقَّةٍ عَالِيَةٍ.,ٱلْمُحْتَرِفُونَ,مُحْتَرِفُونَ,مُفْعِلُونَ,جمع المذكر السالم,Professionals,muHTarifUna
ٱلْفَطِنُونَ يَدْرِكُونَ ٱلْأُمُورَ قَبْلَ حُدُوثِهَا.,ٱلْفَطِنُونَ,فَطِنُونَ,فَعِلُونَ,جمع المذكر السالم,Clever people,faTinUna
ٱلْهَادِئُونَ يُحَافِظُونَ عَلَى تَرْكِيزِهِمْ فِي ٱلْمَوَاقِفِ ٱلصَّعْبَةِ.,ٱلْهَادِئُونَ,هَادِئُونَ,فَاعِلُونَ,جمع المذكر السالم,Calm people,hAdi'Una
ٱلْمُتَعَاوِنُونَ أَنْجَزُوا ٱلْعَمَلَ فِي وَقْتٍ قِيَاسِيٍّ.,ٱلْمُتَعَاوِنُونَ,مُتَعَاوِنُونَ,مُتَفَاعِلُونَ,جمع المذكر السالم,Cooperators,mutaEAwinUna
ٱلْحَرِصُونَ عَلَى ٱلنِّظَامِ يُسَاهِمُونَ فِي تَحْسِينِ بِيئَةِ ٱلْعَمَلِ.,ٱلْحَرِصُونَ,حَرِصُونَ,فَعِلُونَ,جمع المذكر السالم,Eager people,HariS. Una
ٱلْمُبْتَكِرُونَ غَيَّرُوا وُجُوهَ ٱلْعَالَمِ بِاخْتِرَاعَاتِهِمْ.,ٱلْمُبْتَكِرُونَ,مُبْتَكِرُونَ,مُفْعِلُونَ,جمع المذكر السالم,Innovators,mubtakirUna
ٱلْعَادِلُونَ يُحَقِّقُونَ ٱلْتَّوَازُنَ فِي قَرَارَاتِهِمْ.,ٱلْعَادِلُونَ,عَادِلُونَ,فَاعِلُونَ,جمع المذكر السالم,Just people,EAdilUna
ٱلْمُصْلِحُونَ يَسْعَوْنَ إِلَى إِصْلَاحِ مَا فَسَدَ فِي ٱلْمُجْتَمَعِ.,ٱلْمُصْلِحُونَ,مُصْلِحُونَ,مُفْعِلُونَ,جمع المذكر السالم,Reformers,muSliHUna
المُحِبُّونَ يُعَبِّرونَ عن مَشاعِرِهِمْ بِصِدْقٍ وإِخْلاصٍ.,المُحِبُّونَ,مُحِبُّونَ,مُفْعِلُّونَ,جمع المذكر السالم,Loving people,muHibbUna
المُتألِّقونَ يُبْدِعونَ في مَجالاتِ الفَنِّ والْعُلومِ.,المُتألِّقونَ,مُتألِّقونَ,مُتَفَعِّلُونَ,جمع المذكر السالم,Brilliant people,muta'alliqUna
البارِعُونَ يَتَفَوَّقونَ في أَداءِ مَهامِّهِم بِمَهارَةٍ عالِيَةٍ.,البارِعُونَ,بارِعُونَ,فَاعِلُونَ,جمع المذكر السالم,Experts,bAriEUna
المُشارِكونَ يُساهِمونَ في إِنْجاحِ الفَعالِيَّةِ الجَماعِيَّةِ.,المُشارِكونَ,مُشارِكونَ,مُفَاعِلُونَ,جمع المذكر السالم,Participants,mushArikUna
المُتَمَكِّنونَ يَحْكُمونَ الأُمورَ بِثِقَةٍ وَدِرايَةٍ.,المُتَمَكِّنونَ,مُتَمَكِّنونَ,مُتَفَعِّلُونَ,جمع المذكر السالم,Competent people,mutamakkinUna
البائِعُونَ يَعْرِضونَ مُنْتَجاتِهِمْ بِسوقِ المَدينَةِ بِحَيَوِيَّةٍ وَنَشاطٍ.,البائِعُونَ,بَائِعُونَ,فَاعِلُونَ,جمع المذكر السالم,Sellers,bA'iEUna
الرّاجِعونَ يُراجِعونَ بَياناتِهِمْ قَبْلَ تَقْديمِ التَّقارِيرِ.,الرّاجِعونَ,رَاجِعونَ,فَاعِلُونَ,جمع المذكر السالم,Returnees,rAjiEUna
النابِغونَ يَبْتَكِرونَ حُلولًا مُتَطَوِّرَةً لِلمَشاكِلِ المُعَقَّدَةِ.,النابِغونَ,نابِغونَ,فَاعِلُونَ,جمع المذكر السالم,Geniuses,nAbighUna
الماسِحونَ يُنَظِّفونَ الأَرْضِيَّاتِ بِدِقَّةٍ وَانْتِظامٍ.,الماسِحونَ,ماسِحونَ,فَاعِلُونَ,جمع المذكر السالم,Scanners,mAsiHUna
الحائِرونَ يَبْحَثونَ عَنْ إِجاباتٍ شافِيَةٍ لِمَشاكِلِهِمْ.,الحائِرونَ,حائِرونَ,فَاعِلُونَ,جمع المذكر السالم,Confused people,HA'irUna
المُعْتَمِرونَ يُؤَدُّونَ مَنَاسِكَ العُمْرَةِ بِخُشُوعٍ وَتَقْوَى.,المُعْتَمِرونَ,مُعْتَمِرونَ,فَاعِلُونَ,جمع المذكر السالم,Pilgrims,muEtamirUna
المُتَوَكِّلونَ يَعْتَمِدونَ عَلَى اللهِ في كُلِّ أَعْمالِهِمْ.,المُتَوَكِّلونَ,مُتَوَكِّلونَ,مُفْعِلُونَ,جمع المذكر السالم,Trusting people,mutawakkilUna
المُعْتَمَدونَ يَقُومونَ بِمَهامِّهِمْ عَلَى أَكْمَلِ وَجْهِ وَمَسْؤوليَّةٍ.,المُعْتَمَدونَ,مُعْتَمَدونَ,مُتَفَعِّلُونَ,جمع المذكر السالم,Trusted people,muEtamadUna
المُجْبَرونَ يَضْطَرّونَ إِلَى اتِّخاذِ قَراراتٍ صَعْبَةٍ في ظُروفٍ قاسِيَةٍ.,المُجْبَرونَ,مُجْبَرونَ,مُفْعَلُونَ,جمع المذكر السالم,Forced people,mujbarUna
المَقْتولونَ في الحُروبِ يَسْتَحِقُّونَ الذِّكْرَى وَالتَّكْريمَ الأبَدِيَّيْنِ.,المَقْتولونَ,مَقْتولونَ,مُفْعَلُونَ,جمع المذكر السالم,Killed people,maqtUlUna
المُطَلَّقونَ يَعِيشونَ حَياةً جَديدَةً بَعْدَ الطَّلاقِ بِتَفاؤلٍ وَأَمَلٍ.,المُطَلَّقونَ,مُطَلَّقونَ,مَفْعُولُونَ,جمع المذكر السالم,Divorced people,muTallaqUna
الحافِظونَ لِلْقُرْآنِ يَتَعَلَّمونَ آياتِهِ بِتَدَبُّرٍ وَتَرْتيلٍ.,الحافِظونَ,حافِظونَ,مُفَعَّلُونَ,جمع المذكر السالم,Guardians,HAfiZ.unA
المُسوِّرونَ يَحْمونَ المُمتَلَكاتِ مِنَ السَّرْقَةِ بِجُهْدٍ مُسْتَمِرٍّ.,مُسوِّرونَ,مُسوِّرونَ,فَاعِلُونَ,جمع المذكر السالم,Wall-builders,musawwirUna
المَنْكوبونَ يَتَلَقَّونَ المُساعَداتِ مِنَ الجِهاتِ الإِغاثِيَّةِ بِسُرْعَةٍ.,المَنْكوبونَ,مَنْكوبونَ,مُفَعِّلُونَ,جمع المذكر السالم,Calamity-stricken people,mankUbUna
السّاجِدونَ يَلْتَزِمونَ بِأَداءِ الصَّلاةِ بِخُشُوعٍ وَصِدْقٍ.,السّاجِدونَ,ساجِدونَ,مَفْعُولُونَ,جمع المذكر السالم,Those who prostrate,sAjidUna
المُحَمَّلونَ يَحْمِلونَ الأَمْتِعَةَ الثَّقِيلَةَ بِسُهولَةٍ وَتَنْظيمٍ.,المُحَمَّلونَ,مُحَمَّلونَ,فَاعِلُونَ,جمع المذكر السالم,Loaded people,muHammalUna
المُعْتَقَلونَ يَعانُونَ ظُروفًا صَعْبَةً دَاخِلَ السُّجُونِ.,المُعْتَقَلونَ,مُعْتَقَلونَ,مُفَعَّلُونَ,جمع المذكر السالم,Arrested people,muEtaqalUna
المُضْطَرِبونَ يَطْلُبونَ الدَّعْمَ النَّفْسِيَّ لِتَحْسِينِ حالَتِهِمْ.,المُضْطَرِبونَ,مُضْطَرِبونَ,مُفْتَعَلُونَ,جمع المذكر السالم,Disturbed people,muD.TaribUna
المُؤَذِّنونَ يُؤَدُّونَ الأَذانَ بِدِقَّةٍ وَانْتِظامٍ خَمْسَ مَرّاتٍ يَوْمِيًّا.,المُؤَذِّنونَ,مُؤَذِّنونَ,مُفْعَلِلُونَ,جمع المذكر السالم,Muezzins,mu'aDh_dhinUna
السَّجَّانونَ يُرَاقِبونَ السُّجناءَ بِحَزْمٍ وَشِدَّةٍ.,السَّجَّانونَ,سَجَّانونَ,مُفَعِّلُونَ,جمع المذكر السالم,Prison guards,sajjAnUna
المَأْسورونَ يَنْتَظِرونَ تَحْريرَهُمْ بِفَارِغِ الصَّبْرِ وَالأَمَلِ.,المَأْسورونَ,مَأْسورونَ,فَعَّالُونَ,جمع المذكر السالم,Captives,ma'sUrUna
المَكْسورونَ يَسْعَوْنَ لِإِعَادَةِ بِنَاءِ حَياتِهِمْ بَعْدَ الصُّعوباتِ.,المَكْسورونَ,مَكْسورونَ,مَفْعُولُونَ,جمع المذكر السالم,Broken people,maksUrUna
المَنْصُورونَ يَحْتَفِلُونَ بِانْتِصارَاتِهِمْ في ساحَةِ المَعْرَكَةِ.,المَنْصُورونَ,مَنْصُورونَ,مَفْعُولُونَ,جمع المذكر السالم,Victorious people,manS.UrUna
الخَيّاطونَ يَصْنَعونَ المَلابِسَ بِدِقَّةٍ وَإِتْقانٍ.,الخَيّاطونَ,خَيّاطونَ,مَفْعُولُونَ,جمع المذكر السالم,Tailors,khayyAT.UnA
الآكِلونَ يَتَناوَلونَ الطَّعامَ مَعًا في جَوٍّ مِنَ الوُدِّ وَالمَحَبَّةِ.,الآكِلونَ,آكِلونَ,فاعلونَ,جمع المذكر السالم,Eaters,AklUnA
ٱلْجَامِعُونَ يَجْمَعُونَ ٱلْمَعْلُومَاتِ بِدِقَّةٍ وَاِحْتِرَافٍ.,ٱلْجَامِعُونَ,جَامِعُونَ,فاعلونَ,جمع المذكر السالم,Collectors,jAmiCUnA
ٱلدَّارِسُونَ يَجْتَهِدُونَ فِي دِرَاسَتِهِمْ لِتَحْقِيقِ ٱلنَّجَاحِ.,ٱلدَّارِسُونَ,دَارِسُونَ,فاعلونَ,جمع المذكر السالم,Students,dArisUnA
ٱلرَّاكِعُونَ يَخْشَعُونَ فِي صَلَاتِهِمْ بِقُلُوبٍ خَاشِعَةٍ.,ٱلرَّاكِعُونَ,رَاكِعُونَ,فاعلونَ,جمع المذكر السالم,Bowers,rAkiCUnA
ٱلتَّائِبُونَ يَسْعَوْنَ إِلَى ٱلتَّصْلِيحِ وَٱلْتَّغْيِيرِ فِي حَيَاتِهِمْ.,ٱلتَّائِبُونَ,تَائِبُونَ,فاعلونَ,جمع المذكر السالم,Repenters,tA'ibUnA
ٱلْحَامِدُونَ يَشْكُرُونَ ٱللَّهَ عَلَى نِعَمِهِ بِقُلُوبٍ مُمْتَنَّةٍ.,ٱلْحَامِدُونَ,حَامِدُونَ,فاعلونَ,جمع المذكر السالم,Praisers,HAmidUnA
ٱلْمُتَفَكِّرُونَ يُلْقُونَ ٱلنَّظَرَ عَلَى ٱلْأُمُورِ بِعُمقٍ وَتَدَبُّرٍ.,ٱلْمُتَفَكِّرُونَ,مُتَفَكِّرُونَ,متفاعلونَ,جمع المذكر السالم,Thinkers,mutafakkirUnA
ٱلسَّائِلُونَ يَطْلُبُونَ ٱلْمَعْرِفَةَ وَٱلْمُسَاعَدَةَ بِأَدَبٍ وَاحْتِرَامٍ.,ٱلسَّائِلُونَ,سَّائِلُونَ,فاعلونَ,جمع المذكر السالم,Inquirers,sA'ilUnA
ٱلْجَالِسُونَ يَحْتَفِلُونَ بِٱلنَّجَاحِ بَعْدَ ٱلنِّهَايَةِ ٱلْمُبَارَاةِ.,ٱلْجَالِسُونَ,جَالِسُونَ,فاعلونَ,جمع المذكر السالم,Sitters,jAlisUnA
ٱلْحَدَّادُونَ يَصْنَعُونَ ٱلْأَدَوَاتِ وَٱلْأَسْلِحَةَ بِمَهَارَةٍ.,ٱلْحَدَّادُونَ,حَدَّادُونَ,فعّالونَ,جمع المذكر السالم,Blacksmiths,HaddAdUnA
ٱلْخَبَّازُونَ يُعِدُّونَ ٱلْخُبْزَ ٱلطَّازَجَ لِلْمُجْتَمَعِ.,ٱلْخَبَّازُونَ,خَبَّازُونَ,فعّالونَ,جمع المذكر السالم,Bakers,khabbAzUnA
ٱلْعَاقِلُونَ يَتَّخِذُونَ ٱلْقَرَارَاتِ ٱلصَّحِيحَةَ فِي وَقْتِهَا.,ٱلْعَاقِلُونَ,عَاقِلُونَ,فاعلونَ,جمع المذكر السالم,Intelligent ones,CAqilUnA
ٱلذَّاكِرُونَ يَذْكُرُونَ ٱلْمَعْلُومَاتِ بِدِقَّةٍ وَثِقَةٍ.,ٱلذَّاكِرُونَ,ذَاكِرُونَ,فاعلونَ,جمع المذكر السالم,Rememberers,dhAkirUnA
ٱلزَّاهِدُونَ يَتَخَلَّوْنَ عَنْ ٱلْمَلَذَّاتِ لِتَحْقِيقِ ٱلسَّلَامِ ٱلنَّفْسِيِّ.,ٱلزَّاهِدُونَ,زَاهِدُونَ,فاعلونَ,جمع المذكر السالم,Ascetics,zAhidUnA
ٱلْمُمَرِّضُونَ يَسْعَوْنَ لِرِعَايةِ ٱلْمَرْضَى بِٱلْحُبِّ وَٱلْإِخْلَاصِ.,ٱلْمُمَرِّضُونَ,مُمَرِّضُونَ,مفعلّونَ,جمع المذكر السالم,Nurses,mumarridUnA
ٱلْجَاهِدُونَ يُكافِحُونَ مِنْ أَجْلِ ٱلْعَدْلِ وَٱلْحُرِّيَّةِ.,ٱلْجَاهِدُونَ,جَاهِدُونَ,فاعلونَ,جمع المذكر السالم,Strivers,jAhidUnA
