sentence,token,target,morph_weight,meaning,Blural-type,transliteration
المتطوِّعات في الحملة ساعدن في جمع التبرعات للمحتاجين.,المتطوِّعات,متطوِّعات,مُتَفَعِّلات,Female volunteers,جمع مؤنث سالم,mtTwi~EAt
المدرسات في المدارس الابتدائية لديهن طُرق تدريس متميزة.,المدرسات,مدرسات,مُفَعِّلات,Female teachers,جمع مؤنث سالم,mdrsAt
الْجَنْدِيَّاتُ فِي الجَيْشِ قَدَّمْنَ خِدْماتٍ بُطوليَّةً أَثْناءَ العَمَلِيَّاتِ اَلْعَسْكَريَّةِ .,الجنديات,جنديات,فِعَالِيّات,Female soldiers,جمع مؤنث سالم,jndyAt
المخرجات في السينما قدمن أفلامًا تلامس قلوب المشاهدين.,المخرجات,مخرجات,مُفْعِلات,Female directors,جمع مؤنث سالم,mxrjAt
حلَّقتِ الفراشاتُ بين الزهورِ كأنها لحنُ الطبيعةِ الصامت., الفراشاتُ,فراشاتُ,فَعالات,Girls,جمع مؤنث سالم,ftyAt
الطالبات اللواتي شاركن في المسابقة أظهرن مستوى عالٍ من الإبداع.,الطالبات,طالبات,فَاعِلات,Female students,جمع مؤنث سالم,TAlbAt
القائدات في الفرق الرياضية حققن نتائج مذهلة في البطولات.,القائدات,قائدات,فَاعِلات,Female leaders,جمع مؤنث سالم,qA}dAt
الخريجات في الجامعات يحصلن على فرص عمل كبيرة.,الخريجات,خريجات,مُفْعِلات,Female graduates,جمع مؤنث سالم,xryjAt
الجريحات في المستشفى يتلقين العلاج اللازم بعد الحادث.,الجريحات,جريحات,فَعِيلات,Injured women,جمع مؤنث سالم,jryHAt
العاملات في المصنع يساهمن في زيادة الإنتاج بكفاءة عالية.,العاملات,عاملات,فَاعِلات,Female workers,جمع مؤنث سالم,EAmlAt
اللاجئات في المخيم يعيشون في ظروف صعبة ويحتاجون إلى الدعم.,اللاجئات,لاجئات,فَاعِلات,Refugee women,جمع مؤنث سالم,lAj}At
الأمهات العاملات في المجتمع يلعبن دورًا كبيرًا في تربية الأطفال.,العاملات ,عاملات ,فَاعِلات,Mothers,جمع مؤنث سالم,>mhAt
الممثلات في العرض المسرحي قدمن أداءً مميزًا أمام الجمهور.,الممثلات,ممثلات,مُفَعِّلات,Female actresses,جمع مؤنث سالم,mmvlAt
المبتكرات في العلوم يقدمن اختراعات تسهم في تحسين الحياة.,المبتكرات,مبتكرات,مُفْتَعِلات,Innovators (women),جمع مؤنث سالم,mbtkrAt
الفائزات في المسابقة عبرن عن سعادتهن بفوزهن في المسابقة.,الفائزات,فائزات,فَاعِلات,Winners (women),جمع مؤنث سالم,fA}zAt
المعماريات في الشركة قدمن تصاميم رائعة للمباني الجديدة.,المعماريات,معماريات,مِفْعالِيّات,Female architects,جمع مؤنث سالم,mEmAryAt
البائعات في المتجر يقدمن خدمة ممتازة للعملاء.,البائعات,بائعات,فَاعِلات,Female salespersons,جمع مؤنث سالم,bA}EAt
المُكَرَّمَاتُ فِي الحَفْلِ قَدَّمْنْ كَلِماتِ شُكْرٍ وامْتِنانٍ عَلَى التَّقْديرِ اَلَّذِي حَصَلْنَ عَلَيْهُ .,المكرمات,مكرمات,مُفَعَّلات,Honored women,جمع مؤنث سالم,mkrmAt
القارئات في المكتبة يفضلن الكتب الثقافية والروائية.,القارئات,قارئات,فَاعِلات,Female readers,جمع مؤنث سالم,qAr}At
الراعيات في الحقل يزرعن المحاصيل بعناية شديدة.,الراعيات,راعيات,فَاعِلات,Female farmers,جمع مؤنث سالم,rAEyAt
المساعدات في الفريق يقدمن الدعم الفني والخدمات اللوجستية.,المساعدات,مساعدات,مُفَاعِلات,Female assistants,جمع مؤنث سالم,msAEdAt
الكاتبات يبدعن في كتابة الروايات الهادفة.,الكاتِبَات,كاتِبَات,فَاعِلات,writers,جمع مؤنث سالم,kAtibaAt
المعلِّمات يبذلن جهدًا كبيرًا في تعليم الطلاب.,المعلِّمَات,معلِّمَات,مُفَعِّلات,teachers,جمع مؤنث سالم,mEl~imaAt
القارئات يجدن متعة في استكشاف الكتب الجديدة.,القارِئَات,قارِئَات,فَاعِلات,readers,جمع مؤنث سالم,qAri}aAt
المبدِعات يصممن أعمالًا فنية رائعة.,المبدِعَات,مبدِعَات,مُفْعِلات,"creators, innovators",جمع مؤنث سالم,mbdiEaAt
الباحثات يقدمن دراسات علمية متميزة.,الباحِثَات,باحِثَات,فَاعِلات,researchers,جمع مؤنث سالم,bAHivaAt
المديرات يشرفن على تنظيم العمل بكفاءة.,المدِيرَات,مدِيرَات,فَاعِلات,managers,جمع مؤنث سالم,mdiyraAt
المدرِّسات يقدمن الشروحات بطريقة مبسطة.,المدرِّسَات,مدرِّسَات,مُفَعِّلات,"instructors, female teachers",جمع مؤنث سالم,mdr~isaAt
الشاعرات يكتبن أبياتًا مليئة بالمشاعر.,الشاعِرَات,شاعِرَات,فَاعِلات,poets,جمع مؤنث سالم,$AEiraAt
الفائزات حصلن على جوائز تقديرية لإنجازاتهن.,الفَائِزَات,فَائِزَات,فَاعِلات,winners,جمع مؤنث سالم,faA}izaAt
الممثلات قدمن أدواراً مؤثرة في المسرح.,المُمَثِّلات,مُمَثِّلات,مُفَعِّلات,actresses,جمع مؤنث سالم,mumav~ilAt
المحاميات يدافعن عن حقوق المظلومين بشجاعة.,المحامِيات,محامِيات,مُفاعِلات,lawyers,جمع مؤنث سالم,mHAmiyAt
الممرضات يسهرن على راحة المرضى ليلاً ونهارًا.,الممرِّضَات,ممرِّضَات,مُفَعِّلات,nurses,جمع مؤنث سالم,mmr~iDaAt
المرشدات يقدمن نصائح قيّمة للطلاب الجدد.,المرشِدَات,مرشِدَات,مُفْعِلات,"guides, counselors",جمع مؤنث سالم,mr$idaAt
المصممات يعملن على تصميم ملابس بأحدث الصيحات.,المصمِّمَات,مصمِّمَات,مُفَعِّلات,designers,جمع مؤنث سالم,mSm~imaAt
المخترعات يبتكرن حلولاً لمشاكل المجتمع.,المخترِعَات,مخترِعَات,مُفْتَعِلات,inventors,جمع مؤنث سالم,mxtriEaAt
المطربات يؤدين الأغاني بإحساس جميل.,المطربَات,مطربَات,مُفْعِلات,singers,جمع مؤنث سالم,mTrbaAt
السباحات يتدربن يوميًا استعدادًا للبطولات.,السَبَّاحَات,سَبَّاحَات,فَعَّالات,swimmers,جمع مؤنث سالم,sab~aAHaAt
المساعدات يقدمن يد العون للمحتاجين.,المساعِدَات,مساعِدَات,مُفَاعِلات,assistants,جمع مؤنث سالم,msAEidaAt
الحافظات يتقنَّ تلاوة القرآن الكريم.,الحافِظَات,حافِظَات,فَاعِلات,"preservers, keepers",جمع مؤنث سالم,HAfiZaAt
الرائدات يسعين لتغيير المجتمع للأفضل.,الرَائِدَات,رَائِدَات,فَاعِلات,pioneers,جمع مؤنث سالم,raA}idaAt
المجتهدات يحققن أعلى الدرجات في الاختبارات.,المجتهِدَات,مجتهِدَات,مُفْتَعِلات,"diligent women, hard workers",جمع مؤنث سالم,mjthidaAt
العاملات يساهمن في تحسين الاقتصاد الوطني.,العَامِلات,عَامِلات,فَاعِلات,workers,جمع مؤنث سالم,EaAmilAt
المتطوعات يعملن على مساعدة الفقراء في الجمعيات الخيرية.,المتطوِّعَات,متطوِّعَات,مُتَفَعِّلات,volunteers,جمع مؤنث سالم,mtTw~iEaAt
الناشطات يدافعن عن حقوق المرأة في المجتمع.,النَّاشِطَات,ناشِطَات,فَاعِلات,activists,جمع مؤنث سالم,nA$iTaAt
المراقبات يتأكدن من تطبيق القوانين في المدرسة.,المُرَاقِبَات,مُرَاقِبَات,مُفاعِلات,"observers, supervisors",جمع مؤنث سالم,muraAqibaAt
الراعيات يهتممن بالأطفال في دور الأيتام.,الرَاعِيات,رَاعِيات,فَاعِلات,"caretakers, shepherds",جمع مؤنث سالم,raAEiyAt
المحاضرات يلقين ندوات علمية في الجامعات.,المُحَاضِرَات,مُحَاضِرَات,مُفاعِلات,"lecturers, speakers",جمع مؤنث سالم,muHaADiraAt
المكرمات حصلن على شهادات تقدير لإنجازاتهن.,المُكَرَّمَات,مُكَرَّمَات,مُفَعِّلات,honored women,جمع مؤنث سالم,mukar~amaAt
المتحدثات ألقين كلمات ملهمة في المؤتمر.,المتحدِّثَات,متحدِّثَات,فَاعِلات,"speakers, spokespersons",جمع مؤنث سالم,mtHd~ivaAt
اللاعبات تألقن في نهائي البطولة.,اللاعبَات,لاعبَات,فَاعِلات,female players,جمع مؤنث سالم,lAEbaAt
الصانعات يعملن على تطوير منتجات جديدة.,الصَّانِعَات,صانِعَات,فَاعِلات,"makers, creators",جمع مؤنث سالم,SAniEaAt
اللاعبات تألقن في نهائي البطولة.,اللاعبات,لاعبات,فَاعِلات,players,جمع مؤنث سالم,mujotahadAt
الكافلات يحرصن على رعاية الأيتام.,الكافِلَات,كافِلَات,فَاعِلات,"sponsors, guardians",جمع مؤنث سالم,kAfilaAt
المحسنات يساهمن في المشاريع الخيرية.,المُحسِنَات,مُحسِنَات,فَاعِلات,"benefactors, philanthropists",جمع مؤنث سالم,muHsinaAt
الخبيرات يقدمن استشارات في مجالاتهن.,الخَبِيرَات,خَبِيرَات,فَاعِلات,experts,جمع مؤنث سالم,xabiyraAt
الزائرات قدمن التهاني للمرضى في المستشفى.,الزَّائِرَات,زائِرَات,فَاعِلات,visitors,جمع مؤنث سالم,zA}iraAt
المصورات التقطن صورًا جميلة للطبيعة.,المُصَوِّرَات,مُصَوِّرَات,فَاعِلات,photographers,جمع مؤنث سالم,muSaw~iraAt
المقررات يضعن الخطط الدراسية بعناية.,المُقرِّرَات,مُقرِّرَات,فَاعِلات,"deciders, decision-makers",جمع مؤنث سالم,muqr~iraAt
الطبيبات يعالجن المرضى بكفاءة عالية.,الطَّبِيبَات,طبِيبَات,فَعِيلات,"doctors, female doctors",جمع مؤنث سالم,TbiybaAt
الشريفات يحرصن على التحلي بالأخلاق الفاضلة.,الشَّرِيفَات,شرِيفَات,فَعِيلات,noble women,جمع مؤنث سالم,$riyfaAt
الجريحات تلقين العلاج في المستشفى بعد الحادث.,الجَرِيحَات,جَرِيحَات,فَعِيلات,wounded women,جمع مؤنث سالم,jariyHaAt
النجيبات تألقن في مسابقة الرياضيات.,النَّجِيبَات,نجِيبَات,فَعِيلات,noble women,جمع مؤنث سالم,njiybaAt
الذكيات يتميزن بسرعة الفهم والاستيعاب.,الذَّكِيَّات,ذكِيَّات,فَعِيلات,intelligent women,جمع مؤنث سالم,*kiy~aAt
القويات يتغلبن على التحديات بشجاعة.,القَوِيَّات,قَوِيَّات,فَعِيلات,strong women,جمع مؤنث سالم,qawiy~aAt
المخلصات يعملن بجد وإخلاص في وظائفهن.,المُخْلِصَات,مُخْلِصَات,فَعِيلات,loyal women,جمع مؤنث سالم,muxoliSaAt
الرشيقات يحرصن على ممارسة الرياضة يوميًا.,الرَّشِيقَات,رشِيقَات,فَعِيلات,elegant women,جمع مؤنث سالم,r$iyqaAt
العفيفات يحترمن قيم المجتمع وأخلاقه.,العَفِيفَات,عَفِيفَات,فَعِيلات,modest women,جمع مؤنث سالم,EafiyfaAt
الجميلات تألقن في حفل التخرج بأناقة.,الجَمِيلَات,جَمِيلَات,فَعِيلات,beautiful women,جمع مؤنث سالم,jamiylaAt
زَرَعَتِ الفلاحاتُ الحُقولَ بالأملِ والصبرِ.,الفلاحاتُ,فلاحاتُ,فَعِيلات,"nurturing women, breastfeeding women",جمع مؤنث سالم,HaliybaAt
البديعات أبدعن في رسم لوحات فنية مذهلة.,البَدِيعَات,بَدِيعَات,فَعِيلات,innovative women,جمع مؤنث سالم,badiyEaAt
اللطيفات يتمتعن بأسلوب راقٍ في التعامل.,اللَّطِيفَات,لطِيفَات,فَعِيلات,"kind, gentle women",جمع مؤنث سالم,lTiyfaAt
الحزينات بكين عند وداع صديقتهن.,الحَزِينَات,حَزِينَات,فَعِيلات,sad women,جمع مؤنث سالم,HaziynaAt
النظيفات يحرصن على ترتيب منازلهن دائمًا.,النَّظِيفَات,نظِيفَات,فَعِيلات,clean women,جمع مؤنث سالم,nZiyfaAt
الخجولات يشعرن بالارتباك عند التحدث أمام الجمهور.,الخَجُولَات,خَجُولَات,فَعِيلات,shy women,جمع مؤنث سالم,xajuwlaAt
الصبورات يتحملن الصعاب دون تذمر.,الصَّبُورَات,صبُورَات,فَعِيلات,patient women,جمع مؤنث سالم,SbuwraAt
الكريمات لا يترددن في مساعدة الآخرين.,الكَرِيمَات,كَرِيمَات,فَعِيلات,generous women,جمع مؤنث سالم,kariymaAt
الحكيمات يتخذن قرارات صائبة في الأوقات الصعبة.,الحَكِيمَات,حَكِيمَات,فَعِيلات,wise women,جمع مؤنث سالم,HakiymaAt
القديرات ينجزن أعمالهن بكفاءة.,القَدِيرَات,قَدِيرَات,فَعِيلات,capable women,جمع مؤنث سالم,qadiyraAt
البشوشات ينشرن الأمل والفرح بين الناس.,البَشُوشَات,بَشُوشَات,فَعِيلات,cheerful women,جمع مؤنث سالم,ba$uw$aAt
المعذِّبات يعانين بسبب الظروف الصعبة.,المُعَذِّبَات,مُعَذِّبَات,فَعِيلات,tormenting women,جمع مؤنث سالم,muEa*~ibaAt
القانعات يرضين بالقليل ويشكرن الله.,القَانِعَات,قَانِعَات,فَعِيلات,content women,جمع مؤنث سالم,qaAniEaAt
الطويلات يتمتعن بقامة ممشوقة.,الطَّوِيلَات,طوِيلَات,فَعِيلات,tall women,جمع مؤنث سالم,TwiylaAt
الرقيقات يتحدثن بصوت ناعم وهادئ.,الرَّقِيقَات,رقِيقَات,فَعِيلات,delicate women,جمع مؤنث سالم,rqiyqaAt
الضعيفات يحتجن إلى تقوية عضلاتهن بالرياضة.,الضَّعِيفَات,ضعِيفَات,فَعِيلات,weak women,جمع مؤنث سالم,DEiyfaAt
الصادقات يتميزن بقول الحقيقة دائمًا.,الصَّادِقَات,صادِقَات,فَعِيلات,honest women,جمع مؤنث سالم,SAdiqaAt
الأمينات يؤدين واجباتهن بإخلاص.,الأَمِينَات,أمِينَات,فَعِيلات,trustworthy women,جمع مؤنث سالم,>miynaAt
الفطينات يستطعن حل المشكلات بسرعة.,الفَطِينَات,فَطِينَات,فَعِيلات,clever women,جمع مؤنث سالم,faTiynaAt
الماهرات يجدن الحِرف اليدوية بإتقان.,الْمَاهِرَات,مَاهِرَات,فَعِيلات,skilled women,جمع مؤنث سالم,maAhiraAt
المحبات ينشرن مشاعر الحب والسلام.,المُحِبَّات,مُحِبَّات,فَعِيلات,loving women,جمع مؤنث سالم,muHib~aAt
الرحيمات يعاملن الأطفال برفق.,الرَّحِيمَات,رحِيمَات,فَعِيلات,compassionate women,جمع مؤنث سالم,rHiymaAt
النشيطات يشاركن في الأنشطة المدرسية بحماس.,النَّشِيطَات,نشِيطَات,فَعِيلات,active women,جمع مؤنث سالم,n$iyTaAt
المرحات يملأن الجو بالضحك والسعادة.,المَرِحَات,مَرِحَات,فَعِيلات,cheerful women,جمع مؤنث سالم,mariHaAt
الناعمات يعتنين ببشرتهن جيدًا.,النَّاعِمَات,ناعِمَات,فَعِيلات,"soft, smooth women",جمع مؤنث سالم,nAEimaAt
المتواضعات لا يتفاخرن بإنجازاتهن.,المُتَوَاضِعَات,مُتَوَاضِعَات,فَعِيلات,humble women,جمع مؤنث سالم,mutawaADiEaAt
الحنونات يعطفن على الفقراء والمحتاجين.,الحَنُونَات,حَنُونَات,فَعِيلات,affectionate women,جمع مؤنث سالم,HanuwnaAt
السريعات ينهين أعمالهن في وقت قياسي.,السَّرِيعَات,سرِيعَات,فَعِيلات,fast women,جمع مؤنث سالم,sriyEaAt
"""تعاونَتِ السَّاكِنَاتُ في تنظيفِ الحديقةِ العامةِ بعدَ العاصفةِ.""",السَّاكِنَات,ساكِنَات,فَعِيلات,"residents, settled women",جمع مؤنث سالم,sAkinaAt
ساهمَتِ المُهندِساتُ في تصميمِ الجسرِ الحديثِ.,المُهندِساتُ,مُهَنْدِسَات,مُفَعِّلات,Engineers,جمع مؤنث سالم,muhandisAt
أشرفتِ الطّبيباتُ على علاجِ المرضى خلالَ الأزمةِ.,الطّبيباتُ,طَبيبات,فَعِيلات,Doctors,جمع مؤنث سالم,TabybAt
استلمَتْ إحدى المُديرَاتِ وسامًا للتميّزِ الإداريِّ.,المُديرَاتِ,مُدِيرَات,فَاعِلات,Managers,جمع مؤنث سالم,mudiyraAt
نُقدِّرُ جُهودَ المُعَلِّماتِ في تَربيةِ الأجيالِ.,المُعَلِّماتِ,مُعَلِّمات,مُفَعِّلات,Teachers,جمع مؤنث سالم,muEal~imAt
أعملُ مع فريقٍ من المُصمِّماتِ في مشروعٍ جديدٍ.,المُصمِّماتِ,مُصَمِّمات,مُفَعِّلات,Designers,جمع مؤنث سالم,muSam~imAt
تُقيمُ الكاتباتُ ندوةً أدبيةً هذا المساءِ.,الكاتباتُ,كاتِبات,فَاعِلات,Writers,جمع مؤنث سالم,kAtibAt
